id,text,task
53,los mismos de siempre quieren regresar robar más más abre los ojos quiteño no dejes que estos sinverguenzas sigan robando,no violencia política de género
54,pelagatos que ven una refinería en dónde el resto de ecuatorianos vemos una escena del crimen del robo del despilfarro son tan sinvergüenzas que salen defenderla,no violencia política de género
55,otra cosa es robo,no violencia política de género
56,cállese señora por favor usted que robó robó sin misericordia por favor sus palabras son iguales de falsas que usted,violencia política de género
57,su verdad era un espejismo mantenido con los préstamos de china,no violencia política de género
58,increíble ver una correista sin la más minina capacidad ni para dirigir ni una tienda querer corregir algo que seguramente ni conoce,violencia política de género
59,el agua,no violencia política de género
60,pobres jóvenes solo droga les dejo rafael correa,no violencia política de género
61,par batracios,no violencia política de género
62,excelente la rc más fuerte que nunca,no violencia política de género
63,calle vea señora,no violencia política de género
64,presidente que humilla estamos hablando de su hermano seguro poca memoria,no violencia política de género
65,una lora más repitiendo lo del librero de correa todos uds los políticos son es mañosos los únicos sano somos los que trabajamos el día día no miramos la política como lotería bingo de fin de año,violencia política de género
66,ustedes solo saben de acuerdos entre privados,no violencia política de género
67,esta mujer no ganó veces la lotería en el gobierno de su ñaño que se vaya la gabardina está no tiene moral para reclamar nada,violencia política de género
68,claro que irá seguramente también le darán un cachuelo como dice él finalmente patrón manda lo mismo deberían hacer todos los desempleados del país ver qué hace el susodicho,no violencia política de género
69,que más deshumanizante puede existir que un presidente lidere una organización delictiva que cobraba un porcentaje de toda obra pública para enriquecerse ilícitamente,no violencia política de género
70,puro palanqueado que metían trabajar todo queda entre familiares amigos primos tíos,no violencia política de género
71,sabe de economía no como legislar si sabe que tiene que hacer en la asamblea verdad,no violencia política de género
72,nadie les cree ridículos ojalá el karma les castigue pase factura de aquí se van sin pagar dalo por hecho,violencia política de género
73,alcalde,no violencia política de género
74,tan buen trabajo está haciendo que es vicepresidente de una asamblea con menos del de aceptación buenísimo,no violencia política de género
75,entiendo que está hablando de su hermano prófugo que en sus sabatinas insultaba todo mundo sin respetar ninguna condición prohibido olvidar,no violencia política de género
76,recuerdeme una cosa aprobaron la ley de reactivación económica no verdad ni siquiera la debatieron entonces de que se queja si ustedes son parte de esto también tirando casa afuera trabajen para cambiar eso si conoce la palabra,no violencia política de género
77,vos escribe bien ya tiene millones de los que fueron robando,violencia política de género
78,ers bien boba pierina bien boba,violencia política de género
79,demonos comentemos entre nosotros unidos somos más los corruptos siempre fuimos nosotros,no violencia política de género
80,tú qué haces maldita gárgola que ley has logrado para mejorar el país,violencia política de género
81,otra cosa es robar que es lo que hacen ustedes el gobierno que impulsan,no violencia política de género
82,se llama acuerdo entre privados señora lotera,no violencia política de género
83,si sabes lo que estas hablando solo escribiste lo que escuchaste por ahí expliquemos ilustre asambleísta,no violencia política de género
84,así haya sobornos,violencia política de género
85,ustedes se llevan todo el dinero no hacen nada por la gente de que hablas cuánta doble moral,violencia política de género
86,que robaran millones más dicen,violencia política de género
87,calla sinvergüenza,violencia política de género
88,es que esta hp es una basura cara dura cuando todos sus acólitos mafiosos están presos huidos por justamente eso,violencia política de género
89,al que siga quejandose lo meto preso no nos hemos olvidado de lo que le decía alias mameluco los damnificados de manabi prohibido olvidar compañerita,no violencia política de género
90,como extrañas tu hermano gracias quien ganaste la lotería en ocasiones nunca tributaste cierto,violencia política de género
91,tienes que ser demasiado cara dura ladrona para hablar de tráfico de influencia cuando tu hermano mafioso ladrón está huido por toda una mafia de coimas robos rata,violencia política de género
92,se acuerdan del feriado bancario solo algo así en este momento terminaría de rematar al ecuador ni se te ocurra por favor pd ni se te ocurra sugerir semejante huevada ya jubilate con tus primeros millones,no violencia política de género
93,hablas tan bonito casi me convences te esta pegando la cantaleta correista,violencia política de género
94,oye rata recuerdas el si alguien me levanta la voz se va preso cuando el pueblo pedía ayuda luego del terremoto mejor calladita disfrutar de sus loterías que por cierto ya están investigando,violencia política de género
95,todo esto agréguele las obras con sobreprecio la corrupción los millones en sobornos estamos hablando del profugo de la justicia rafael correa delgado no lo digo yo es la justicia que ustedes crearon su antojo la que lo sentenció,no violencia política de género
96,aquí está tu hermanito que opinas de lo que dice,no violencia política de género
97,oye pedazo de imbecil estupida ignorante como van funcionar los colegios si no le pagas los profesores la policía que defendió quito de tu amigos terroristas si no le pagan cretina,violencia política de género
98,señora del una cosa es refinería fantasma otra pista narco avísame mameluco,no violencia política de género
99,que suerte la de pierina que no necesita hacer uso de trámites de influencia porque ella se saca la lotería por duplicado,no violencia política de género
100,cuando gobernaba su hermano acaso no hubo trafico de influencias para obtener una beca solo dieron hijos de asambleístas ministros ratas,no violencia política de género
101,waooooo que pilas la astudillo,no violencia política de género
102,recuperen el agua en lugar de regalar sándwiches,no violencia política de género
103,tienes toda la trompa llena de razón porque gente como ustedes que ganan miles miles no hacen ni mierda por el país,violencia política de género
104,en serio cuál sería su aporte para mejorar usted le gustaría crear fuentes de trabajo porque para la crítica es una profesional,violencia política de género
105,cuando dejes de ser un parásito de la política veamos si puedes conseguir trabajo,no violencia política de género
106,ojalá te des cuenta que hay millones de personas rompiéndose el lomo por muy poco dinero mientras hay tantas sanguijuelas como tú que ganan tanto dinero sin hacer nada productivo por el país solo paseando comiendo gratis que desigualdad verdad,violencia política de género
107,vaga ponte trabajar desquita el sueldo que te paga el pueblo ecuatoriano sinverguenza,violencia política de género
108,cinismo puro mientras más corrupta más juzga,violencia política de género
109,cómo gran huevada tuitean cuando se van vacacionar rusia no han propuesto un solo proyecto ley para el pueblo rata hp,violencia política de género
110,oye care muerto la asamblea no le aprobaron los paquetes de emprendedores código de trabajo solo porque viene del gobierno asquerosos,violencia política de género
111,exacto son millones lo robado por ése delincuentes,no violencia política de género
112,deja de joder bruja,violencia política de género
113,con un ratero confirmado cero apoyo,no violencia política de género
114,la inversión en ciencia tecnología de los correistas,no violencia política de género
115,en durán hay más droga que agua potable no me lo han contado yo lo he visto,no violencia política de género
116,tu mejor,no violencia política de género
117,estás hablando del ratero de tu hermano bruja infeliz,violencia política de género
118,ni un solo voto los narco correistas,no violencia política de género
119,todavía tienes el descaro de opinar ustedes también tienen pésima actitud peores,no violencia política de género
120,así como el préstamo de emelec que tu ñaño les dio verdad allí no hubo nada malo,no violencia política de género
121,sólo repiten lo dicen,no violencia política de género
122,sabe si pabel ya pagó la glosa,no violencia política de género
123,serán millonarios querrá decir ustedes por su puesto,no violencia política de género
124,con mucha tristeza deben renunciar en vista que no hacen nada de asambleístas pprlenos antes levantaban el brazo,no violencia política de género
125,sensiblera de última mashmejor decile tu hermanastro el mashcorrugto devuelva algo de lo robado luego báñate,violencia política de género
126,jajjajajaja dan es pena este borrego,no violencia política de género
127,el en estuvo súper bacán pudimos ver en vivo artistas estéticos realizando sus obras vivimos el rap el trap través de sus mejores exponentes disfrutamos del baile urbano todo en un espacio seguro muy buen trabajo,no violencia política de género
128,creo que está hablando de su hermano cinismo nivel genético,no violencia política de género
129,donde están las glosas las acciones judiciales que se iniciaron contra los que intervinieron en ese supuesto atraco porque en el sector público no pasa nada por alto peor con una contraloría corrupta pero aquí la lengua es más larga que una serpiente,violencia política de género
130,regresa el millón que te choreaste de fedeguayas hdp,violencia política de género
131,no entiendo porque hay gente tan cinica caretucos como donde cuánto gano las dos loterías dino usted se hizo millonaria de la noche la mañana porque la ley es porqueria usted su banda de ratas hacen lo quieren pero seguro tendrán gea muerte robar el pan al pobre,violencia política de género
132,oye corrupta de rd,violencia política de género
133,gastar millones en festines bacanales sabe dios que más hacían en los conciertos privados organizados por su hermano en carondelet en galápagos con plata del estado esa sí era la actitud correcta,no violencia política de género
134,ni hacen ni dejan hacer pero reclaman que no hay resultados correísmo se llama,no violencia política de género
135,expresidente dirás tu hermano dolo es fugitivo,no violencia política de género
136,la asambleísta no es agencia de empleos están para legislar fiscalizar lo está haciendo bien como ciudadana como asambleísta todos estamos en el derecho de criticar éste gobierno inepto que nos está llevando la ruina,no violencia política de género
137,van re aplanar el terreno por otros miles de milloncitos hay manabas pendejos que se siguen dejando engañar,no violencia política de género
138,wow qué inteligente no has sido tan tonta como pareces,violencia política de género
139,porque satanisas borrega que culpa tiene el gobierno de que haya gente tan estúpida imagínate que culpa tiene el gobierno de el ladrón correa saqueo el país en años meten sisaña a veces si entra en la mente de ciertos ignorantes,violencia política de género
140,la hija de la mula hermana del prófugo ganadora de lotería excelente hoja de vida,violencia política de género
141,ahora todos sabemos que las traiciones vienen de los oportunistas el movimiento de la revolución montescri decidimos participar con una lista amiga para sacar del abandono nuestro pueblo cantón somos semillas crecemos en el desierto somos revolución,no violencia política de género
142,jajajajaj siga llorando delincuente,violencia política de género
143,marcelita la verdad es que eres parte de una banda delincuencial narcoterrorista irónicamente eres una desmemoriada cínica buena para nada,violencia política de género
144,tú serás un ciudadano más por no ganarás la alcaldía le verás góbernar yunda,no violencia política de género
145,me tomaré el tiempo responder nosotros durante años levantamos imagen de cuando fueron traicionados ayudamos todos los asambleístas recorrer las calles de manabi era el candidato de la fuimos traicionados por,no violencia política de género
146,una cosa es sobre precio otra sobre costo,no violencia política de género
147,los corruptos siempre fueron son ustedes,no violencia política de género
148,será que caben todos en latacunga,no violencia política de género
149,gasto corriente inversión pública son conceptos básicos de economía pero no son iguales uno depende del dinero administrado para sueldos salarios para el sector público otra muy diferente que quiera gastar ese dinero para supuestamente invertir en obras cosas que no hace,no violencia política de género
150,huacala vuelven los rateros,no violencia política de género
151,una cosa son coimas otra acuerdo entre privados,no violencia política de género
152,oiga sofía la patria también le dolía cuando se supo de la gestión de cargos públicos eso de tener memoria selectiva es común en todos estos,no violencia política de género
153,bueno por lo menos un chapista con coraje habrá pagado las balas que uso jajaja una broma pero la tragedia existe nos muestra que mal está el escogitamiento de miembros de la policía escojan cualquiera no importa si don divisaras delincuentes,no violencia política de género
154,entrega de formularios la asamblea nacional para reformar la ley de seguridad social la ley del biess mediante la iniciativa popular normativa,no violencia política de género
155,tráfico de influencias crédiro solo le dijo que vaya diga que su padrino es razón que el aromo ve una refineria,no violencia política de género
156,sabe usted algo de inversiones de gastos muy corrientes seguro es experta,no violencia política de género
157,jamás jamás volverá esta rata,violencia política de género
158,oye zarrapastrosa lo de tu hermanito que familia de ladrones humillación te acuerdas del gordita horrorosa tráfico de influencias qué hay de trafuci de narcos cdr,violencia política de género
159,la que apenas puede decir una frase sin escupir la gente crítica al presidente si que se lee cosas pero bueno de todo hay en este mundo,no violencia política de género
160,cuidado con ésos delincuentes oportunistas pueblo de montecristi,no violencia política de género
161,como gastón duzac dices zorra inmunda,violencia política de género
162,la juni es una loca como su líder la rafa,violencia política de género
163,los corruptos siempre fueron los de la,no violencia política de género
164,recordemos que en el gobierno de tu hermano otorgaron un crédito de dólares aun argentino sin ningún tipo de garantías fue sólo por que apareció en una foto con tu hermano prohibido olvidar,no violencia política de género
165,pudiera decirme que es el gasto corriente que es el gasto de capital que es el gasto de inversión que es una contraprestación de bienes servicios que es erogación de fondos espero su respuesta,no violencia política de género
166,enseñe cómo hacer para ganarse la lotería varías veces en la época de que su hermano fue presidente por qué hace años no hemos sabido que se la haya ganado de nuevo si cuéntenos,no violencia política de género
167,dígame cuál cree usted es el la mejor de la provincia le reto hacerlo,no violencia política de género
168,quién es éste que la agrega usted,no violencia política de género
169,no les da vergüenza la gente si sabemos lo que está pasando,no violencia política de género
170,después de ustedes mismos espantaron la empresa privada estrangularon al empresario con impuestos aún no permiten se eliminen ahora vociferan el desempleo la mismo desencadenó cuanta compañeritos de,no violencia política de género
171,le amas tu títere sinverguenza lo tenemos claro es el anda con hienas reír aprende nadie cree en ustedes claro solo los quieren parte del pastel con sobreprecio confirme secre,violencia política de género
172,era una broma no tiene humor usted,no violencia política de género
173,qué hp definitivamente no tenemos memoria esta mira quién viene no hizo nada por durán capaz gana,violencia política de género
174,hermano no amigo paridos por igual,no violencia política de género
175,choro sinverguenza ojalá regrese para meterle preso,no violencia política de género
176,gárgola colgaré tu profunda reflexión en un poste para la posteridad,violencia política de género
177,ya no tiene remedio esta vaga solo para twitear sirve porque leyes hasta ahora,violencia política de género
178,eres la menos indicada para escribir corrupta sinvergüenza,violencia política de género
179,parece que se atrasó asambleísta le pasaron muy tarde lo leyó muy tarde recién lo entendió,no violencia política de género
180,si es para robar claro que si son los mejores cuéntame cuantos galones refina la refinería del pacífico,no violencia política de género
181,la creatividad por esquivar las glosas de ser que malas compañías wilson,violencia política de género
182,cretina sin vergüenza ustedes delincuentes defensores del prófugo delincuente de correa hablan,violencia política de género
183,recuerdo como tu hermanito humillaba todos las sábados quienes no le lamian los pies denunciaban sus fechorías también recuerdo cómo denigro la gente en manabi después del terremoto pierina sería bueno actúes como tu hermano fabricio el tiene mucha más dignidad,no violencia política de género
184,da gusto hasta los mismos borregos se hayan dado cuenta los salarios de los burócratas no son inversión social sino simple gasto no garantiza en modo alguno la calidad de los servicios avanzamos patria,no violencia política de género
185,estamos hablando del préstamo un humilde empresario argentino llamado gastón duzac por mil dolares que no devolvió ni un centavo por recomendación de su gran amigo un tal economista rafael vicente correa,no violencia política de género
186,que que comes que adivinas ya has aprendido siquiera esito cotorra recadera de maleante,no violencia política de género
187,habra golpe de estadoo enterese saldremos la calle no quedaran uds ni donde vivan estan bien advertidos,no violencia política de género
188,se haran de los millones,no violencia política de género
189,tendrán millones de dólares robados no iba,violencia política de género
190,ve lamer las botas de tu amo el narco de correa basura vendida disque periodista,violencia política de género
191,una cosa es una cosa otra cosa es otra cosa otra cosa es la cosa,no violencia política de género
192,duzac no tenía padrinos deja de ser indeseable suertuda,no violencia política de género
193,ustedes son de corazón puro,no violencia política de género
194,guillermo lasso practica estimula el tráfico de influencias,no violencia política de género
195,señorita una cosa es una verdadera asambleísta que hubiera aprobado el apoyo gringo para delincuencia la ley de extensión de dominios otros proyectos para beneficios específicos los ecuatorianos otra cosa son asambleístas unes psc que están aprobando otro innecesario feriado,no violencia política de género
196,usted no debería ni opinar,violencia política de género
197,imparables para el robo pero,violencia política de género
198,que tal si usted le presta el usted es la de suerte usted se sacó la lotería veces cuanto millones fueron en total el gran negocio que rafico le ayudó con los insumos médicos hablemos de influencias señora correa demuestre cómo es que usted tiene todas esas propiedades,violencia política de género
199,está es otra so burra loca que quiere ama la loca del atico entre locas se entienden,violencia política de género
200,para alcalde,no violencia política de género
201,necesitamos sanduches colas,no violencia política de género
202,envíenle un diccionario libro folleto algo lo ilumine,no violencia política de género
203,ahora en cambio tienen mucha agua con el gobierno del cuentero verdad demasiada agua teñida de rojo eso sí,no violencia política de género
204,jajaja,no violencia política de género
205,la actitud del gran hermano era humanista cero tráfico de influencias eres desmemoriada,no violencia política de género
206,dios no lo permita,no violencia política de género
207,imparables para el robo sinverguenzas miserables que han hecho en poder más de robar cínicos,no violencia política de género
208,seremos millones robaremos millones,no violencia política de género
209,la la inversión,no violencia política de género
210,hermanos choros,violencia política de género
211,dedícate lu tuyo realiza algo de provecho eso si el correismo te dejo alguna neurona medio buena si hay más empleo yo trabajo para una multinacional todas las semanas buscamos personal para diversas áreas,violencia política de género
212,quieren robarse m mas mmvg no te tomes el nombre de todos los manabas,violencia política de género
213,los mismo dijeron cuando llegó el prófugo se cargaron todo al peso,no violencia política de género
214,hablo pierina correa el mas grande ejemplo de lo que es el tráfico de influencia una don nadie que no hubiera alcanzado nada en su vida sin tener un hermano presidente como un hotel estrellas en galápagos etc,violencia política de género
215,nuestro habla por ti por favor,no violencia política de género
216,los delincuentes no pueden volver porque se van la cárcel,no violencia política de género
217,claro desde que tu jefe se robó todo es peor corrupta que aprendiste en rusia,violencia política de género
218,google no se le engaña,no violencia política de género
219,para humillaciones las que tu ñañito hacia con alto parlante cada sábado tráfico de influencias en serio uy no que pensaría pedrito delgado el clan glas espinel vos misma de todo eso cuando necesitemos que alguien desmantele una federación deportiva te avisamos,no violencia política de género
220,tu ñañito en sabatinas ofrecía el oro el moro así que gran diferencia tampoco hay,no violencia política de género
221,todavía sinvergüenza,violencia política de género
222,deben desde la asamblea mandar un asilo este inútil presidente que esperan para sacarle del poder,no violencia política de género
223,la lotería no fue publicidad engañosa,no violencia política de género
224,haber define tu si sabes estoy seguro no,no violencia política de género
225,jajajajaja corruptos ladrones,no violencia política de género
226,más deshumanizado que su hermano cuando quería meter la cárcel los probres que le reclamaban por atención después de una tragedia no existe probablemente no existirá de qué habla usted,no violencia política de género
227,para cuando enseñas el truco de atinarle las loterías si hablamos de publicidad vea cuanto gasto su ñaño les dije nosotros somos manos limpias quien con ladron se junta robar a mentir aprende,no violencia política de género
228,así como deshumanizaron humillaron fedeguayas,no violencia política de género
229,más ruin fue clavar un impuesto del para la reconstrucción despues del terremoto robarse los recursos eso es más ruin desalmado si no váyannos manbi vean cómo aumenta vive gente en carpas para dar lecciones de moral deben practicar primero,no violencia política de género
230,usted sabe quien fue el idiota que hizo cambiar la forma de medir el empleo para aumentar las cifras vaya averigüe,no violencia política de género
231,su apuesta seguramente será también por el lleve no hay otra si tienen un líder prófugo de la justicia por corrupto lo más seguro es que tratarán de emular su líder así que el que vota por ustedes sabe lo que se atiene no podrá quejarse,violencia política de género
232,te duele sinverguenza si sabes cuánto muertos en la década robada duele de gabel te sigo nombrando tengan sangre en la cara malditos,violencia política de género
233,lo que le pesa la ñaña del prófugo es que haga una transacción sin sobreprecios solo sea padrino en fin cosas de la robolucion,no violencia política de género
234,vago mentiroso si asambleísta no hiciste nada ahora quieres meter la mano en quito así como la delincuente la pavón quito no se olvida vos tu concejal lame fueron los querían dar alojamiento los terroristas de la conaie destruyeron negocios en la capital,no violencia política de género
235,cínicos estos tipos luego de saquear quebrar al país siguen jodiendo cada día,no violencia política de género
236,mije antes del el país tenía el de población económicamente activa llegó la banda de nos dejó con el es decir el menos,no violencia política de género
237,narcorreas,no violencia política de género
238,calla sabida igual tus hermanos,violencia política de género
239,compre la lotería no mloleste,no violencia política de género
240,mejor devuelvan los millones robados,violencia política de género
241,ni dios quiera como el covid pandemia,no violencia política de género
242,la rata de tu hermano humillaba gritandoles los afectados del terremoto aparte les robo sus donaciones de las que tu también habras pellizcado ratera,no violencia política de género
243,explíqueme la diferencia por favor,no violencia política de género
244,todo sacan de contexto ruines,no violencia política de género
245,correa daba sanduches para tapar coimas sobreprecios hoy los nuevos ricos dicen que se sacaron la lotería caretucos sinvergüenzas,no violencia política de género
246,ese discurso queda muy bien en cualquier ámbito en planificación crecimiento urbano asentamientos informales movilidad seguridad que es lo que proponen,no violencia política de género
247,señor correa una cosa es otra es hacer glosas que luego se borran,no violencia política de género
248,quieren volver las,no violencia política de género
249,todo esto sucede mientras que otros vagos levantamanos acostumbrados mamar de la teta del estado andan ganando más de por bloquear leyes de incentivo económico de seguridad interna vagos como usted por ejemplo,no violencia política de género
250,los campeones del lleve dando lecciones de contabilidad,no violencia política de género
251,legisle en vez de andar paseando por rusia actualice el código de trabajo saqué leyes que fomente el empleo,no violencia política de género
252,señor correa una cosa es negociar otra es como lo hicieron sus ministros,violencia política de género
253,el pueblo no quiere ni tolera más engaños lo dice la engañó ese mismo pueblo diciendo se había ganado dos veces la lotería la se llevó los fondos de la fdg dejó destruida la red de escenarios deportivos de la provincia del guayas cínica desvergonzada,no violencia política de género
254,cual es la formula para ganarse loteria,no violencia política de género
255,quito nunca será de los corruptos ni glosados ni de oportunistas,no violencia política de género
256,señor correa una cosa es otra cosa es según dicho su líder,no violencia política de género
257,hay pobre,no violencia política de género
258,uyyyy como cuchi grillo cri cri cri,no violencia política de género
259,borrega la entrevista fue hace una semana sigan haciendo el ridiculo que eso beneficia al país,violencia política de género
260,caradura,violencia política de género
261,que cínica sinvergüenza,violencia política de género
262,pronto tendremos más millones querrás decir rata corrupta,violencia política de género
263,en el terremoto de manabi rafael correa delgado cito al que se me queja le mando preso ahí si la ganadora de la lotería calladita claro como era el compinche digo el ñañito querido que le dejaba robar,no violencia política de género
264,seremos millones ya están pensando en los millones que volverán adueñarse,no violencia política de género
265,sin lugar dudas este es el hilo de tuits más estúpido del,no violencia política de género
266,si usted tiene razón debía haberle cobrado comisión,no violencia política de género
267,usted no debería de tuitear la hacen pedazos por cada párrafo escrito en esta red,no violencia política de género
268,mejor es ganarse la lotería verdad,no violencia política de género
269,este presidente es tan caretuco como usted ganando dos veces la lotería,no violencia política de género
270,millonarios querrá decir,no violencia política de género
271,ya huele quemado dale suave con las ideas,no violencia política de género
272,para decir esa mamarrachada tan trillada es que se reúnen con el capo mayo,no violencia política de género
273,asustadas que la hola de desempleo no se ha detenido pese al esfuerzo que hace la asamblea que mejore podrían repetir que hicieron para crear confianza en el país negocio que ponen es robado asesindo el dueño,no violencia política de género
274,en el gobierno de tu hermano el prófugo no decías nada pasaste muda,no violencia política de género
275,tal cual inspirado el artista retratarlos muuuuyyy parecidos lo asquerosos repugnantes que son lacras puercas,no violencia política de género
276,señora astudillo una cosa es sobreprecios otra sobrecostos,no violencia política de género
277,no te atrevas hablar por todos decir el pueblo te queda grande en tu boca tú no me representas destilas tanto odio pues entonces tú tú otros compañeros que al menos por primera vez se pongan trabajar no teclear estar difamando al primer mandatario irrespetuosa,no violencia política de género
278,lo peor que pudo ocurrir al ecuador fueron esos correismo,no violencia política de género
279,tráfico de influencias fue lo que hizo su hermano con su otro hermano que construyó una carretera,violencia política de género
280,nunca entenderás eres demasiado bruta,violencia política de género
281,yo creo que los jovenes les gusta el dinero facil,no violencia política de género
282,vieja cinica ladrona,violencia política de género
283,jajaajjajajajajajajajajajajajajajajaja,no violencia política de género
284,quizás quiso decir seremos millonarios,no violencia política de género
285,que aburrida es usted,no violencia política de género
286,miren lo que pasó con el futuro de los jovenes lo que esta pasando por sus obras los conocerás,no violencia política de género
287,estabas acostumbrada que él acomplejado de tu hermano mandaba la cárcel de un carajazo los hacía callar miserables ratas que mejor si tengo el apoyo la palabra de un señor presidente como es,no violencia política de género
288,lo resucitarán chávez la única necesitada es la de uds de hacer más plata,no violencia política de género
289,otro crimen de estado diga saldrán las feministas pintar la casa donde ocurrió la tragedia dudas mas que certezas,no violencia política de género
290,una cosa es ser honesto otra ser sierva de un prófugo,no violencia política de género
291,el criminal también era policía,no violencia política de género
292,los burros hablando de orejas cuanta vergancia hdp,no violencia política de género
293,doble moral cinismo conchudez usted es la menos indicada para señalar nadie cuantos proyectos de ley ha propuesto como ni uno,violencia política de género
294,solo que vayan devolver la plata,no violencia política de género
295,soy manabita tú no me representas tampoco defiendo un proyecto con sobreprecio soy manaba pero no cojuda,no violencia política de género
296,prohibido olvidar compañerita,no violencia política de género
297,acuerdo entre privados son las coimas para el prófugo los corruptos son los robolucionarios,no violencia política de género
298,jajajajaj payaso oportunista alado de un delincuente con glosas que puede salir de esto ni un voto para estos delincuentes,no violencia política de género
299,por lo que detallas parece que hablas de raflero de tu hermano,no violencia política de género
